Arist,Title
MyKey,Homesick Remedy
Khai dreams,Sunkissed
Roar,I Can't Handle Change
Guardin,I think you're really cool
Role Model,Six Speed
Clairo,Bubble Gum
Khai dreams,Sunshine
Gnash,insane
AJR,Birthday Party
Eden,Times like these
Roy Blair,Grand Theft Auto
Oliver Riot,Hallucinate
Lil Barnacle,MOSHPIT
Taylor Swift,You Belong With Me
Rupert Holmes,Escape
Redbone,Come And Get Your Love
Electric Light Orchestra,Mr. Blue Sky
Silver,Wham Bam Shang-A-Lang
Queen,Bohemian Rhapsody
John Denver,Country Roads
Yung Gravy,Mr. Clean
Lil Nas X,Panini
XXXTENTACION,Jocelyn Flores
Billie  Eilish,Bad Guy
Cavetown,Lemon Boy
Eden,Untitled
Jeremy Zucker,All the kids are depressed
Saint Raymond,Movie In My Mind
Conan Gray,Idle Town
Yung Gravy,Magic
Conan Gray,Crush Culture
Two Door Cinema Club,Undercover Martyn
Two Door Cinema Club,What You Know
Go Radio,Goodnight moon
Bastille,Flaws
half-alive,creature
Arctic Monkeys,Do I Wanna Know?
Jungle,Lemonade Lake
Cavetown,Just Add Water
half-alive,still feel
Cavetown,Fool
Cavetown,This is Hme
Jack Stauber,Buttercup
Oliver Tree,When I'm Down
Oliver Tree,Alien Boy
Oliver Tree,Hurt
AJR,Beats
AJR,Burn The House Down
AJR,Overture
Rex Orange County,10/10
Rex Orange County,Loving Is Easy
Rex Orange County,Best Friend
Jon Bellion,Stupid Deep
Marshmello,Happier
PewDiePie,Congratulations
PewDiePie,Bitch Lasagne
My Chemical Romance,Welcome To The Black Parade
CaptainSparklez,Revenge
The Foundations,Build Me Up Buttercup
Carolina Liar,Show Me What I'm Looking For
Chon,Glitch
A Day To Remember,Homesick
Taylor Swift,Clean
Paramore,Misery Business
Paolo Nutini,Penci Full Of Lead
MyKey,Running With The Wolves
Dan Auberach,Never In My Wildest Dreams
Troye Sivan,Strawberries & Cigarettes
Kid Quill,A Song To Sing
Surfaces,Heaven Falls
Foster The People,Pumped Up Kicks
Frank Turner,Be More Kind
McFly,Five Colours In Her Hair
Kanye West,Gold Digger
Ryan Leahan,My Little
FINNEAS,Let's Fall In Love For The Night
Khai dreams,In Love
FINNEAS,Break My Heart Again
Cody Simpson,La Da Dee
Stevie Wonder,Sir Duke
Skee-Lo,I Wish
Dwilly,ADD
Shirt,Phantom
MyKey,VHS
Frank Sinatra,Fly Me To The Moon
Verzache,Needs
Zach Farache,The Loser
Bastille,Pompeii
Metro Station,Shake It
Love-Sadkid,Cash
iDubbz,Asian Jake Paul
The Script,Flares
Eden,Fumes
Roy Blair,Hazel
Lil Boom,Already Dead
Owl City,Fireflies
Smash Mouth,All Star
Smash Mouth,I'm A Believer
The Jackson 5,I Want You Back
The Jackson 5,ABC
